experiment,model,memorize_count,background_count,string_length,stage,forget_epochs,exact_recall,exact_matches,num_examples,avg_target_log_prob,avg_target_log_loss
distilgpt2_keys128_len8,distilgpt2,128,1024,8,memorize,0,1.0,128,128,-0.00012930967417292192,0.00012930967417292192
distilgpt2_keys128_len8,distilgpt2,128,1024,8,forget,1,0.0,0,128,-2.726774001801244,2.726774001801244
distilgpt2_keys128_len8,distilgpt2,128,1024,8,forget,2,0.0078125,1,128,-2.741081244440583,2.741081244440583
distilgpt2_keys128_len8,distilgpt2,128,1024,8,forget,4,0.0078125,1,128,-2.483966961209659,2.483966961209659
distilgpt2_keys128_len8,distilgpt2,128,1024,8,forget,8,0.0234375,3,128,-2.65782889460182,2.65782889460182
distilgpt2_keys128_len8,distilgpt2,128,1024,8,forget,16,0.015625,2,128,-3.2657801906892527,3.2657801906892527
distilgpt2_keys128_len8_rerun_20260602,distilgpt2,128,1024,8,memorize,0,1.0,128,128,-0.00011556798101583827,0.00011556798101583827
distilgpt2_keys128_len8_rerun_20260602,distilgpt2,128,1024,8,forget,1,0.0,0,128,-2.591795434527373,2.591795434527373
distilgpt2_keys128_len8_rerun_20260602,distilgpt2,128,1024,8,forget,2,0.0,0,128,-2.999073323575114,2.999073323575114
distilgpt2_keys128_len8_rerun_20260602,distilgpt2,128,1024,8,forget,4,0.0,0,128,-2.723927481010266,2.723927481010266
distilgpt2_keys128_len8_rerun_20260602,distilgpt2,128,1024,8,forget,8,0.015625,2,128,-2.9532875423932823,2.9532875423932823
distilgpt2_keys128_len8_rerun_20260602,distilgpt2,128,1024,8,forget,16,0.0,0,128,-4.12713340487451,4.12713340487451
distilgpt2_keys256_len8_rerun_20260602,distilgpt2,256,2048,8,memorize,0,1.0,256,256,-9.504668656646049e-05,9.504668656646049e-05
distilgpt2_keys256_len8_rerun_20260602,distilgpt2,256,2048,8,forget,1,0.08203125,21,256,-1.461529692593881,1.461529692593881
distilgpt2_keys256_len8_rerun_20260602,distilgpt2,256,2048,8,forget,2,0.03125,8,256,-1.8786017112079103,1.8786017112079103
distilgpt2_keys256_len8_rerun_20260602,distilgpt2,256,2048,8,forget,4,0.0390625,10,256,-2.312101393012267,2.312101393012267
distilgpt2_keys256_len8_rerun_20260602,distilgpt2,256,2048,8,forget,8,0.04296875,11,256,-2.2744193121151257,2.2744193121151257
distilgpt2_keys256_len8_rerun_20260602,distilgpt2,256,2048,8,forget,16,0.0078125,2,256,-3.656015784389659,3.656015784389659
distilgpt2_keys64_len8,distilgpt2,64,512,8,memorize,0,1.0,64,64,-0.00032126368879962537,0.00032126368879962537
distilgpt2_keys64_len8,distilgpt2,64,512,8,forget,1,0.0,0,64,-3.405522637802995,3.405522637802995
distilgpt2_keys64_len8,distilgpt2,64,512,8,forget,2,0.0,0,64,-3.46296382142159,3.46296382142159
distilgpt2_keys64_len8,distilgpt2,64,512,8,forget,4,0.0,0,64,-3.5102345420998686,3.5102345420998686
distilgpt2_keys64_len8,distilgpt2,64,512,8,forget,8,0.03125,2,64,-3.1257451011038055,3.1257451011038055
distilgpt2_keys64_len8,distilgpt2,64,512,8,forget,16,0.0,0,64,-5.548913066485291,5.548913066485291
gpt2_keys128_len12,gpt2,128,1024,12,memorize,0,1.0,128,128,-9.109991983395486e-05,9.109991983395486e-05
gpt2_keys128_len12,gpt2,128,1024,12,forget,1,0.0,0,128,-3.6296992141448055,3.6296992141448055
gpt2_keys128_len12,gpt2,128,1024,12,forget,2,0.0,0,128,-3.2761162842136295,3.2761162842136295
gpt2_keys128_len12,gpt2,128,1024,12,forget,4,0.0,0,128,-3.7261439011026396,3.7261439011026396
gpt2_keys128_len12,gpt2,128,1024,12,forget,8,0.0,0,128,-4.099726010955655,4.099726010955655
gpt2_keys128_len12,gpt2,128,1024,12,forget,16,0.0,0,128,-6.713405759906194,6.713405759906194
gpt2_keys128_len8,gpt2,128,1024,8,memorize,0,1.0,128,128,-9.779733922838385e-05,9.779733922838385e-05
gpt2_keys128_len8,gpt2,128,1024,8,forget,1,0.0234375,3,128,-2.343298821956819,2.343298821956819
gpt2_keys128_len8,gpt2,128,1024,8,forget,2,0.0,0,128,-2.732978308880638,2.732978308880638
gpt2_keys128_len8,gpt2,128,1024,8,forget,4,0.0390625,5,128,-2.20533712890052,2.20533712890052
gpt2_keys128_len8,gpt2,128,1024,8,forget,8,0.109375,14,128,-1.7111571818041351,1.7111571818041351
gpt2_keys128_len8,gpt2,128,1024,8,forget,16,0.0234375,3,128,-2.9142210830522153,2.9142210830522153
gpt2_keys256_len12,gpt2,256,2048,12,memorize,0,0.99609375,255,256,-0.00597597071448106,0.00597597071448106
gpt2_keys256_len12,gpt2,256,2048,12,forget,1,0.0,0,256,-4.195678667274858,4.195678667274858
gpt2_keys256_len12,gpt2,256,2048,12,forget,2,0.0,0,256,-4.411523191851307,4.411523191851307
gpt2_keys256_len12,gpt2,256,2048,12,forget,4,0.0,0,256,-5.171697523982594,5.171697523982594
gpt2_keys256_len12,gpt2,256,2048,12,forget,8,0.0,0,256,-5.647711692066552,5.647711692066552
gpt2_keys256_len12,gpt2,256,2048,12,forget,16,0.0,0,256,-7.35127340269759,7.35127340269759
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,memorize,0,1.0,256,256,-0.00013747622148118182,0.00013747622148118182
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,1,0.0,0,256,-3.5684493501041206,3.5684493501041206
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,2,0.0,0,256,-4.3495520226533415,4.3495520226533415
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,4,0.0,0,256,-5.562141585393128,5.562141585393128
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,8,0.0,0,256,-5.62586731312175,5.62586731312175
gpt2_keys256_len12_rerun_20260602,gpt2,256,2048,12,forget,16,0.0,0,256,-7.059136588594438,7.059136588594438
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,memorize,0,1.0,256,256,-4.2293280512811137e-05,4.2293280512811137e-05
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,1,0.0546875,14,256,-1.609937538633355,1.609937538633355
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,2,0.0546875,14,256,-1.793026071832932,1.793026071832932
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,4,0.07421875,19,256,-1.6698381226895425,1.6698381226895425
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,8,0.01953125,5,256,-3.00118735213108,3.00118735213108
gpt2_keys256_len8_rerun_20260602,gpt2,256,2048,8,forget,16,0.01171875,3,256,-3.509850094235365,3.509850094235365
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,memorize,0,0.998046875,511,512,-0.0005474387798512046,0.0005474387798512046
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,1,0.0,0,512,-2.3274742789724354,2.3274742789724354
gpt2_keys512_len12_rerun_20260602,gpt2,512,4096,12,forget,2,0.0,0,512,-2.6447074366461303,2.6447074366461303
